HHID_panel,tempo,de_assets1,de_assets2,di_assets,de_DAR1,de_DAR2,di_DAR,de_DSR1,de_DSR2,di_DSR,de_income1,de_income2,di_income,de_ISR1,de_ISR2,di_ISR,de_expenses1,de_expenses2,di_expenses,cat_assets_b,cat_DAR_b,cat_DSR_b,cat_income_b,cat_ISR_b,cat_expenses_b
ELA9,1,25.898056,5.0035439,28.746841,29.356375,-40.130123,.11107817,2132.9128,392.67593,.36833763,-80.136322,31.329927,-104.17722,272.15213,1131.5037,.046998575,-39.176239,68.093719,-17284.557,Inc,Inc,Inc,Dec,Inc,Dec
ELA9,2,25.898056,5.0035439,6.9922943,29.356375,-40.130123,-.19641951,2132.9128,392.67593,1.5141853,-80.136322,31.329927,8.0902596,272.15213,1131.5037,.72719258,-39.176239,68.093719,18273.252,Sta,Dec,Inc,Inc,Inc,Inc
GOV11,1,408.2243,-81.277016,722.55701,53.147587,70.752838,.18016133,-61.760284,-93.599213,-.55703491,212.9877,117.93267,77.740509,10.574737,-93.303452,.031527072,46.458839,-47.558231,22486.078,Inc,Inc,Dec,Inc,Inc,Inc
GOV11,2,408.2243,-81.277016,-731.13312,53.147587,70.752838,.36730939,-61.760284,-93.599213,-.32281968,212.9877,117.93267,134.72688,10.574737,-93.303452,-.30758679,46.458839,-47.558231,-33712.164,Dec,Inc,Dec,Inc,Dec,Dec
GOV13,1,-86.570671,5.8134613,-632.39874,196.29329,193.3172,.38425657,-66.807312,-39.371704,-.4943741,-25.632912,228.86217,-20.506329,98.119736,-41.944908,.10057273,-35.021099,-23.609537,-21012.66,Dec,Inc,Dec,Dec,Inc,Dec
GOV13,2,-86.570671,5.8134613,5.7030792,196.29329,193.3172,1.1212647,-66.807312,-39.371704,-.096707106,-25.632912,228.86217,136.15851,98.119736,-41.944908,-.085178666,-35.021099,-23.609537,-9204.7305,Sta,Inc,Dec,Inc,Dec,Dec
GOV14,1,342.92691,-88.605255,586.40503,101.31992,-76.182724,.5925141,-72.929634,-82.430702,-.15395586,79.467926,-87.21965,93.772156,-49.17004,-100,-.055279873,19.902477,-83.25663,15086.078,Inc,Inc,Dec,Inc,Dec,Inc
GOV14,2,342.92691,-88.605255,-671.10071,101.31992,-76.182724,-.89690638,-72.929634,-82.430702,-.047105897,79.467926,-87.21965,-184.70694,-49.17004,-100,-.057146057,19.902477,-83.25663,-75668.688,Dec,Dec,Dec,Dec,Dec,Dec
GOV17,1,-93.175644,459.81018,-648.96838,201.66811,-95.240395,1.2826844,-83.485847,-87.553696,-1.2531146,-49.739388,59.017715,-84.556961,-41.841595,-94.12075,-.13576864,100.63943,-37.866737,39048.102,Dec,Inc,Dec,Dec,Dec,Inc
GOV17,2,-93.175644,459.81018,218.55533,201.66811,-95.240395,-1.8273983,-83.485847,-87.553696,-.21702443,-49.739388,59.017715,50.426529,-41.841595,-94.12075,-.17761888,100.63943,-37.866737,-29478.535,Inc,Dec,Dec,Inc,Dec,Dec
GOV18,1,38.82399,-56.87479,135.68985,95.451324,-77.698868,.28676364,-73.15062,474.7164,-.063863672,-6.3291202,-71.696342,-7.2784882,-76.424934,244.62433,-.066722289,-24.915026,-40.310181,-17221.266,Inc,Inc,Dec,Sta,Dec,Dec
GOV18,2,38.82399,-56.87479,-275.95071,95.451324,-77.698868,-.4562422,-73.15062,474.7164,.11127673,-6.3291202,-71.696342,-77.232384,-76.424934,244.62433,.05034871,-24.915026,-40.310181,-20920.473,Dec,Dec,Inc,Dec,Inc,Dec
GOV19,1,-95.450249,1642.897,-268.21518,3230.9331,-77.977531,4.0817838,-57.938358,829.245,-.12397169,43.300686,-52.77174,22.949364,42.792992,829.245,.026971698,205.86797,-47.553513,55378.484,Dec,Inc,Dec,Inc,Inc,Inc
GOV19,2,-95.450249,1642.897,210.04128,3230.9331,-77.977531,-3.2813869,-57.938358,829.245,.74632049,43.300686,-52.77174,-40.0798,42.792992,829.245,.74632049,205.86797,-47.553513,-39126.309,Inc,Dec,Inc,Dec,Inc,Dec
