HHID_panel,year,dsr_std,dar_std,tdr_std,rfm_std,dailyincome_pc_std,assets_pc_std,lpc_std
GOV45,2016,-.61368406,.2477847,-.45677617,.50154203,.51948392,-.43100238,-.31231266
GOV45,2020,-.44060439,-.10310473,-.45677617,-.0025915736,.12082638,-.57733065,-.36258796
GOV46,2010,.69743383,-.57687765,-.45677617,.45653528,-.54530418,2.4924686,-.86721796
GOV46,2016,-.31919023,-.8581093,-.45677617,.49897522,-.24315053,-.61435008,-1.4997637
GOV46,2020,-.40060651,-.6691668,-.45677617,.35074514,1.3514935,-.17742325,-1.4108059
GOV47,2010,.16416003,.84739345,-.45677617,.0050596828,1.034891,2.1730793,-.85908842
GOV48,2010,-.29811233,-.47509745,-.45677617,.098426998,-.22315921,4.5935726,-.31231266
GOV48,2016,-.62101424,.41729617,-.45677617,.052517354,1.9083897,1.7219163,-1.0559261
GOV48,2020,5.3797712,.50874978,-.45677617,.25817004,-1.0758214,2.25615,-.21627142
GOV49,2016,-.2824122,-.65001965,-.45677617,1.0164306,.95778918,1.0587848,-1.2823837
GOV49,2020,-.55321246,-.3884609,-.45677617,.44037667,-.040738132,.57350928,-.49615625
GOV5,2010,-.28913325,-.27861476,-.45677617,-.077547863,-.16128896,-.10183728,-.36258796
GOV50,2010,.37826693,-.77913773,2.8774624,.13839184,-.71502876,-.46323994,-.77604121
GOV50,2016,-.16050531,.86087161,-.45677617,-.41581535,-.07760217,-.66892958,-.18164273
GOV50,2020,-.49002805,-.73559916,.80743968,.65467751,.23382242,-.60205644,.50393254
GOV51,2010,-.57695556,-.20164716,-.45677617,.15984838,-.060056888,-.60893679,.063613601
GOV51,2016,-.62101424,-.28889936,.29815215,.81921369,-.64923841,-.30778337,-.081719123
GOV51,2020,-.62101424,-.15477756,2.5892994,.1363104,1.6294971,.062033992,-.21627142
GOV52,2010,.66563874,-.74579453,1.9248228,-1.4391782,-.8870998,-.26674899,-.52443033
GOV52,2016,.20028867,-.26230615,-.45677617,-.17341872,-.39192864,-.25424749,.1611449
