"","HHID_panel","index2010","index2016","index2020","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6"
"156","KUV14",0.095117643,0.10741313,0.031239271,1,2,1,3,3,3
"157","KUV15",0.22651573,0,0.020303188,1,2,1,3,3,3
"158","KUV17",0.15966006,0.056387879,0.67912829,2,3,2,1,1,1
"159","KUV18",0.052588236,0.0036956784,0.38611382,2,3,2,1,1,1
"160","KUV19",0.039398056,0.062963843,0.15263748,1,2,1,3,3,3
"161","KUV2",0.094169185,0,0.027732391,1,2,1,3,3,3
"162","KUV20",0.15513197,0.03999937,0.12614125,1,2,1,3,3,3
"163","KUV21",0.22247848,0,0.11175826,1,2,1,3,3,3
"164","KUV22",0.089759998,0,0.0091198292,1,2,1,3,3,3
"165","KUV23",0.23349081,0.49208415,0.089014217,3,1,3,2,2,2
"166","KUV26",0.12163056,0.0051357215,0.03331092,1,2,1,3,3,3
"167","KUV27",0.18469605,0.13841546,0.15068859,2,1,3,2,3,2
"168","KUV28",0.013134329,0.25047618,0.12945387,3,1,3,2,2,2
"169","KUV29",0.066956758,0.02701208,0.3517355,2,3,2,1,1,1
"170","KUV30",0.13308448,0,0.01236481,1,2,1,3,3,3
"171","KUV31",0.089759998,0.016726514,0.0076396554,1,2,1,3,3,3
"172","KUV32",0.027808186,0.11056828,0.05426117,1,2,1,3,3,3
"173","KUV34",0.0050526317,0.10472129,0.11387458,1,2,1,3,3,3
"174","KUV35",0.10467,0.016235191,0,1,2,1,3,3,3
"175","KUV37",0.0070164702,0.052440681,0.23517737,2,1,2,1,1,1
"176","KUV38",0.0082191778,0.0042003733,0.069920503,1,2,1,3,3,3
"177","KUV39",0.03586207,0.2201374,0.24226375,2,1,3,2,2,2
"178","KUV4",0.051975686,0.1281707,0.014230952,1,2,1,3,3,3
"179","KUV40",0.036218181,0.16196723,0.17322822,2,1,3,2,2,2
"180","KUV41",0.16296999,0.015032778,0.17616998,2,2,1,3,3,3
"181","KUV43",0.13405327,0.12254284,0.087236553,1,2,1,3,3,3
"182","KUV44",0.029577777,0.076764926,0.14999455,1,2,1,3,3,3
"183","KUV46",0.26853818,0.039806269,0.1985563,2,2,2,1,1,1
"184","KUV47",0.019200001,0.05090199,0.27143255,2,3,2,1,1,1
"185","KUV50",0.098297864,0.021498851,0,1,2,1,3,3,3
"186","KUV52",0.045500003,0.21592157,0.15491587,3,1,3,2,2,2
"187","KUV6",0.0091912095,0.12092948,0.17684014,2,1,3,2,3,2
"188","KUV7",0.13768934,0.049633879,0.4110868,2,3,2,1,1,1
"189","KUV9",0.22381973,0.01858528,0.17715712,2,2,1,3,3,3
"190","MAN1",0,0.22561635,0.3541384,2,1,2,1,1,1
"191","MAN10",0.025816346,0.10693018,0.45325759,2,3,2,1,1,1
"192","MAN12",0.099805526,0.010917445,0.099963859,1,2,1,3,3,3
"193","MAN13",0.0275,0.47651541,0.063101031,3,1,3,2,2,2
"194","MAN14",0.016734783,0.34769431,0.11382452,3,1,3,2,2,2
"195","MAN15",0.096124031,0.42227805,0.20065595,3,1,3,2,2,2
"196","MAN16",0.17663155,0.08447884,0.21173526,2,1,2,1,1,1
"197","MAN17",0.091802798,0.20924002,0,3,1,3,2,2,2
"198","MAN18",0.01581065,0.055446863,0.076107666,1,2,1,3,3,3
"199","MAN19",0.16472051,0.0059453631,0.22497015,2,3,2,1,1,1
"200","MAN2",0.1428584,0.11826642,0.022948407,1,2,1,3,3,3
"201","MAN20",0,8.7090244e-05,0.13294922,1,2,1,3,3,3
"202","MAN21",0.10981122,0.17481744,0.31014168,2,1,2,1,1,1
"203","MAN22",0.047431454,0.12766632,0.37019303,2,3,2,1,1,1
"204","MAN23",0.0013962265,0,0.053515293,1,2,1,3,3,3
"205","MAN25",0.17158546,0.02794995,0.14830066,1,2,1,3,3,3
"206","MAN26",0.001911795,0.066657886,0.072954178,1,2,1,3,3,3
"207","MAN28",0.23250628,0.059640732,0.099021815,1,2,1,3,3,3
"208","MAN31",0.0020809248,0.23745203,0.2994253,2,1,3,2,1,2
