HHID_panel,pca2index2010,m2index2010,pca2index2016,m2index2016,pca2index2020,m2index2020
KAR30,25.384209,1.4016757,23.055569,5.2768335,46.025013,85.127396
KAR32,29.977123,13.814581,33.204266,32.398922,55.077698,69.380157
KAR33,20.626293,3.8245795,22.506516,.54398918,44.804588,25.679277
KAR34,23.496626,3.4480851,22.429041,-1.9264936,25.611156,-5.9635315
KAR35,25.368725,13.308808,24.585514,8.8366365,34.263725,-1.9892483
KAR36,41.022366,52.77652,28.673286,7.5433555,45.654903,27.870783
KAR38,19.630125,-4.7467575,30.256989,-.37640551,29.838089,9.5327501
KAR42,35.311962,41.259911,29.276707,18.369753,41.408913,39.809383
KAR43,30.586103,15.013418,28.349815,18.986235,17.154745,-8.9403801
KAR44,33.174988,34.735256,28.119476,7.2514524,25.490311,-.2471534
KAR45,28.270533,10.706163,17.40357,-14.180102,28.965719,1.7274172
KAR46,20.727818,-5.9996853,25.034229,7.3359103,24.717239,-8.9071369
KAR47,22.587097,-.25045481,21.20155,2.0197103,30.42288,-18.899681
KAR48,22.696983,-3.8346152,37.464241,54.060917,37.653404,29.288923
KAR49,20.719124,3.3256032,20.326511,2.5506797,27.376108,-2.9500811
KAR50,36.621521,49.023338,37.728767,30.112864,34.624023,.086559959
KAR6,29.794004,15.895836,40.67345,64.000786,43.527592,18.096531
KAR7,31.153851,8.5605135,23.964808,5.3194389,21.516827,-15.415364
KAR8,20.816864,3.3954477,21.048391,.65834326,44.304256,66.808601
KAR9,43.137104,68.231506,21.093786,2.5978937,25.936008,9.874589
KOR1,28.744753,11.685305,55.291367,84.770111,45.716824,59.501129
KOR10,21.517525,-1.5124834,25.425961,8.5094109,36.616051,21.459887
KOR11,23.688301,4.0066938,20.410299,-18.405352,31.861149,-2.1451836
KOR14,25.673189,8.2099581,19.652279,-16.137747,33.302784,18.006512
KOR15,28.441275,21.955008,24.05546,15.32032,35.240997,19.674601
KOR16,25.348726,2.1454952,21.883867,-.10037643,40.145111,32.120159
KOR17,31.043484,18.729479,58.97821,87.815506,21.295382,-15.616297
KOR19,28.450092,16.190418,33.87064,49.978607,31.908018,20.397413
KOR2,26.129641,1.1770703,25.881926,15.486213,22.06963,-10.732866
KOR20,24.901886,1.3499711,17.334095,-24.144604,20.390055,-9.6046543
KOR22,29.405075,15.963027,19.807652,-2.8903155,26.847422,-5.2170877
KOR23,24.187706,6.0567446,32.674038,24.948383,36.635426,22.297907
KOR24,32.80228,32.210583,30.663982,10.344563,23.894131,11.004188
KOR25,18.90934,-5.3809562,20.594818,-.33069542,8.9358883,-36.220203
KOR26,25.749228,.32430807,30.762241,25.450603,41.903957,34.788063
KOR27,32.763329,16.997149,19.433403,-1.0153805,27.76926,-8.9015198
KOR29,27.659407,11.338296,38.627716,30.035704,41.763256,27.424795
KOR3,22.62702,-1.9390227,20.510111,-.78658956,26.360245,-1.0602529
KOR30,23.425661,4.555954,27.777431,23.336952,38.3424,53.587276
KOR32,25.4767,5.2140398,21.910234,-4.4152718,24.189789,-3.8204749
KOR33,25.82538,4.7066364,22.020052,1.498382,18.034096,-4.5698905
KOR34,24.019302,6.4775,26.311493,14.578365,38.091549,19.368744
KOR35,34.112888,35.634029,43.233772,25.250227,40.021431,27.809254
KOR36,20.677553,-4.5232792,27.001122,15.727292,26.910292,-9.0023403
KOR37,23.759192,.1268356,44.976879,61.757164,23.028177,-7.8439903
KOR38,21.77277,-.84534073,31.19738,24.926313,19.744886,-27.07007
KOR39,32.805779,30.339724,26.19108,-23.163603,47.313671,65.083557
KOR4,24.763306,.29705974,22.098099,1.7095138,34.189369,46.667381
KOR40,31.550718,18.948912,24.350973,-4.0914216,17.199633,-16.751089
KOR41,18.866146,-9.3597288,26.112667,-15.40666,37.680386,4.7048497
KOR42,30.07538,18.322828,37.377644,5.5618663,37.591003,20.295244
KOR44,25.777636,2.9958632,31.072941,15.914918,39.341324,45.699425
KOR45,24.920502,2.0892112,22.640211,-.30666056,38.875198,39.078373
KOR5,34.79937,19.349331,44.34433,-.05446085,62.549858,91.092308
KOR9,26.130363,4.0565019,23.663681,-7.057035,28.399492,-7.5273647
KUV1,29.015196,12.751088,27.96908,23.889473,39.24176,44.079247
KUV12,34.093105,33.667675,26.683592,12.880993,31.548553,4.0808082
KUV13,25.337442,11.147806,27.040386,7.3483863,32.303158,43.434391
KUV14,28.493984,14.656796,28.059591,14.934517,47.387783,2.5585108
KUV15,34.907646,34.374805,22.596214,9.0300751,21.219046,-8.8018312
KUV17,35.253208,41.646992,27.012276,22.184771,59.882469,52.479126
KUV18,29.660833,-2.2562637,24.290579,15.171717,51.987736,47.974262
KUV19,25.845291,-1.4454873,23.477505,8.6460953,31.806257,18.79406
KUV2,28.193668,20.801174,31.408615,20.796755,21.506126,-6.0686536
KUV20,33.638065,36.945618,29.934742,25.574673,35.202343,24.736748
KUV21,38.214268,51.47401,26.505945,1.2067053,35.320244,21.633966
KUV22,31.373247,23.30714,25.790079,12.538073,22.570904,1.9467849
