HHID_panel,year,assets_total_std,dsr_std,isr_std,dar_std,dir_std,tdr_std,afm_std,rfm_std,dailyincome4_pc_std,incpercpl_std
ORA36,2020,-.31818694,-.3743692,-.25367129,-.44016996,-.49184713,-.45677617,.060510647,-.0072921277,1.0708715,1.1187572
ORA37,2010,-.67675793,-.29082575,-.21707499,.38232321,-.44042504,-.45677617,-.44979295,-.098958343,-.48252684,-.49228245
ORA37,2020,-.52617669,-.62101328,-.52620041,-.68041402,-.60291302,-.45677617,-.0098420698,2.4349179,-.93241119,-.95886046
ORA38,2010,-.55774909,.93170857,1.0724465,1.1671262,.25454512,-.45677617,-.4547216,-.13957544,-.15872452,-.1564648
ORA38,2016,-.36045989,-.54895729,-.35755122,-.39404786,-.34660611,-.45677617,-.31154481,-.028105484,-.35680053,-.36189085
ORA38,2020,-.098371662,-.61711621,-.51707923,-.54622239,-.48640403,-.45677617,1.3669223,.71460247,.32079348,.34084639
ORA39,2010,-.58857155,-.62101328,-.52620041,-.42738134,-.52448356,-.45677617,.01772307,.24245282,-.31065631,-.31403434
ORA39,2016,-.64462382,-.62101328,-.52620041,-.32913649,-.51947117,-.45677617,-.51649147,-.19609451,-.54163927,-.55358827
ORA39,2020,-.55540401,-.52277243,-.41264468,.45135021,-.25045201,-.45677617,.63665372,.56595021,-.16962539,-.16777027
ORA4,2016,.040102366,-.59291077,-.5124805,-.65658909,-.55017382,-.45677617,.24746074,.60657454,.059744369,.070110701
ORA4,2020,1.5911845,-.30296367,-.49907777,-.65503919,-.40405583,-.45677617,.017420311,.46806109,-.1207211,-.11705128
ORA40,2010,-.0046577896,-.17822236,-.16938134,-.62095886,-.38604134,-.45677617,-.40145013,.067914531,-.70434523,-.7223317
ORA40,2016,-.64809221,.93843925,.28384265,2.5194166,.30669546,.69462758,-.70343453,-.44527513,-.83856642,-.8615334
ORA40,2020,-.6162672,.24946578,-.42101875,.26333082,-.16702975,-.45677617,-.52613747,-.1777004,-.73966855,-.75896573
ORA41,2010,-.5611738,.10014593,.78935778,.074580759,.14417922,-.45677617,-.90187532,-.99087918,-.87677979,-.90116471
ORA41,2016,-.46154803,-.21025942,-.15502036,.19641989,.0039426815,.75568819,-.89960819,-.58248514,-.34134814,-.34586501
ORA41,2020,-.11530945,-.36599937,-.40244123,-.1987441,-.45418379,-.45677617,3.2394648,.43212506,2.2233319,2.3139818
ORA42,2016,4.4175043,.55576921,-.33545348,-.53395444,.57814443,-.45677617,.28720665,.038342182,.94088662,.98394912
ORA42,2020,4.4175043,-.29445231,-.52620041,-.6439321,-.023963196,-.45677617,.70024014,.68092531,-.36263329,-.36794001
ORA43,2010,-.51836491,-.62101328,-.52620041,-.44654721,-.44470474,-.45677617,-.18223861,.21755362,-.43648902,-.4445363
ORA43,2016,-.37541562,-.13780187,.26023367,-.29793596,-.086266585,-.45677617,-1.7043835,-1.8714911,-.74616498,-.76570326
ORA43,2020,-.49635512,-.20909658,.084244773,.0016203159,-.429153,2.5138619,.44885877,.15140605,.41412508,.43764126
ORA44,2010,.055702794,-.30115914,-.17283535,-.051674649,-.38030759,-.45677617,1.2808613,.031312365,4.5607023,4.2470961
ORA44,2016,-.62061828,.73954558,.14420542,2.0134151,-.1311903,.037189931,-1.0111643,-.55103463,.27028844,.28846726
ORA44,2020,-.3412661,-.1918968,-.044945572,.30557433,.22669002,-.33047441,.90937614,.93218172,-.034579277,-.027713098
ORA45,2010,-.59713334,-.48825511,-.21547605,-.17611815,-.40140393,-.45677617,-.27588263,.091878206,-.28759685,-.29011923
ORA45,2016,-.54041922,-.54543638,-.47344717,-.49672794,-.5097121,-.45677617,-.13062878,.19241674,-.28951693,-.29211059
ORA45,2020,-.51599157,-.022940839,.20406356,-.36462653,-.39809164,1.0088677,.62135386,1.1224058,-.48056534,-.49024814
ORA46,2010,-.022637539,-.61401331,-.50981677,-.6170004,-.44799063,-.45677617,-.39677495,-.034721956,-.54810876,-.56029791
ORA46,2016,-.61433309,-.24246067,-.52620041,1.4303689,.62394994,.75344276,-.85458159,-.81341058,-.79427499,-.81559849
ORA46,2020,-.58267158,-.006428903,-.17802702,.74386507,-.28690109,-.45677617,-.24391693,-.076021351,.40743926,.43070737
ORA47,2010,-.48839864,1.9483476,.7188949,.033700418,-.013313856,-.45677617,-.8459776,-.61342597,-.48252684,-.49228245
ORA47,2016,-.39787659,.15159996,-.52620041,.27093545,.79924357,-.45677617,-.66322392,-.40355122,-.64552844,-.66133243
ORA47,2020,-.4250226,-.4913488,-.52620041,-.21392073,-.39698488,-.35394835,.0048311749,.04423178,.54012567,.56831723
ORA48,2010,-.59285241,-.60632312,-.49181765,-.48551044,-.52504808,.94711375,-.33073127,.016401574,-.3843129,-.39042407
ORA48,2016,-.6108647,-.31186593,.19736803,.99973941,.052044813,.20406304,-.58281678,-.27166706,-.37160555,-.37724522
ORA48,2020,-.64288324,-.55121857,-.3628439,1.1620673,-.38526165,-.45677617,.282278,.20863484,.49235797,.51877707
ORA49,2010,-.56802326,-.60640466,-.49200845,-.26012242,-.39323288,.90413749,-.58920288,-.27991825,-.50443578,-.51500428
ORA49,2016,-.64939272,-.13093984,-.42975578,.55056173,-.28937352,-.45677617,-.80180299,-.56056666,-.57116818,-.5842129
