"","HHID_panel","year","dsr_std","dar_std","tdr_std","afm_std","dailyincome_pc_std","assets_pc_std","lapc_std","dailyincome_pc_std","assets_pc_std","dsr_std","dar_std","afm_std","tdr_std","lapc_std","clust"
"54","ELA26",2016,1.0552822,0.81957364,-0.45677617,-0.96914017,-0.66000497,-0.4025721,0.90781134,-0.66000497,-0.4025721,1.0552822,0.81957364,-0.96914017,-0.45677617,0.90781134,"4"
"55","ELA26",2020,3.6387174,0.35566998,-0.36350656,-1.1010296,-1.1447186,-0.37737536,-0.11668016,-1.1447186,-0.37737536,3.6387174,0.35566998,-1.1010296,-0.36350656,-0.11668016,"4"
"56","ELA27",2010,-0.49260095,-0.97905129,-0.45677617,0.40398514,0.58739173,0.74160874,-0.74018824,0.58739173,0.74160874,-0.49260095,-0.97905129,0.40398514,-0.45677617,-0.74018824,"2"
"57","ELA27",2016,-0.25316575,-0.24208827,-0.45677617,0.10411793,0.22896765,-0.37987649,-0.26666996,0.22896765,-0.37987649,-0.25316575,-0.24208827,0.10411793,-0.45677617,-0.26666996,"2"
"58","ELA27",2020,-0.61370271,0.50991523,-0.45677617,3.8657255,4.8885489,0.25121856,0.91300792,4.8885489,0.25121856,-0.61370271,0.50991523,3.8657255,-0.45677617,0.91300792,"1"
"59","ELA28",2016,-0.21805957,1.0907288,-0.45677617,0.13197319,0.58638817,0.7200076,1.0037521,0.58638817,0.7200076,-0.21805957,1.0907288,0.13197319,-0.45677617,1.0037521,"4"
"60","ELA28",2020,-0.62101424,2.6487215,-0.45677617,-1.1994325,-1.0217533,-0.15143959,0.60493696,-1.0217533,-0.15143959,-0.62101424,2.6487215,-1.1994325,-0.45677617,0.60493696,"4"
"61","ELA29",2016,0.29749683,2.6487215,-0.45677617,-0.44143242,-0.17584696,0.13337216,2.0672929,-0.17584696,0.13337216,0.29749683,2.6487215,-0.44143242,-0.45677617,2.0672929,"4"
"62","ELA29",2020,-0.62101424,-0.73576003,-0.45677617,0.32668322,0.27166241,0.38809156,-0.29243734,0.27166241,0.38809156,-0.62101424,-0.73576003,0.32668322,-0.45677617,-0.29243734,"2"
"63","ELA3",2016,-0.45726773,-1.075915,-0.45677617,1.1975043,-0.15933111,-0.52854806,-0.75179893,-0.15933111,-0.52854806,-0.45726773,-1.075915,1.1975043,-0.45677617,-0.75179893,"2"
"64","ELA3",2020,-0.45060337,-0.85088688,-0.45677617,2.1299834,0.99385709,-0.40849611,-0.53317446,0.99385709,-0.40849611,-0.45060337,-0.85088688,2.1299834,-0.45677617,-0.53317446,"2"
"65","ELA30",2010,-0.42291504,-0.47450811,-0.45677617,-0.042236894,-0.37825236,0.89330232,-0.47539446,-0.37825236,0.89330232,-0.42291504,-0.47450811,-0.042236894,-0.45677617,-0.47539446,"2"
"66","ELA30",2016,-0.61206007,0.22160564,6.2117009,-0.5667969,-0.32734638,0.65551978,-0.63897419,-0.32734638,0.65551978,-0.61206007,0.22160564,-0.5667969,6.2117009,-0.63897419,"3"
"67","ELA30",2020,0.19040929,-0.59669203,-0.29204756,0.057692487,-0.4427883,-0.47837076,-0.035221089,-0.4427883,-0.47837076,0.19040929,-0.59669203,0.057692487,-0.29204756,-0.035221089,"3"
"68","ELA31",2010,0.58190739,-0.30342254,-0.45677617,-0.79957265,-0.88019562,0.23855728,-0.53243512,-0.88019562,0.23855728,0.58190739,-0.30342254,-0.79957265,-0.45677617,-0.53243512,"2"
"69","ELA31",2016,-0.44577992,1.4878873,-0.45677617,0.072592914,0.81719524,-0.69453174,-0.58003581,0.81719524,-0.69453174,-0.44577992,1.4878873,0.072592914,-0.45677617,-0.58003581,"4"
"70","ELA31",2020,-0.57773751,-1.011564,4.1197572,1.7181731,-0.042442918,-0.6111061,-0.71693057,-0.042442918,-0.6111061,-0.57773751,-1.011564,1.7181731,4.1197572,-0.71693057,"3"
"71","ELA32",2016,1.3114074,0.89460158,0.2271591,-1.0964186,0.2495124,-0.33771431,1.0472175,0.2495124,-0.33771431,1.3114074,0.89460158,-1.0964186,0.2271591,1.0472175,"4"
"72","ELA32",2020,1.5189824,2.6487215,-0.45677617,-1.6279781,0.38811466,-0.19061036,5.1800385,0.38811466,-0.19061036,1.5189824,2.6487215,-1.6279781,-0.45677617,5.1800385,"4"
"73","ELA33",2010,-0.51574886,-0.51014352,-0.45677617,-0.17131069,-0.32204565,-0.57539767,-0.52158129,-0.32204565,-0.57539767,-0.51574886,-0.51014352,-0.17131069,-0.45677617,-0.52158129,"2"
"74","ELA33",2016,-0.54570633,-0.66403008,1.8772066,0.17308383,-0.27663049,-0.55707377,-0.5037213,-0.27663049,-0.55707377,-0.54570633,-0.66403008,0.17308383,1.8772066,-0.5037213,"3"
"75","ELA33",2020,-0.031480309,0.71256047,-0.10346429,-0.84390223,-0.50307423,-0.56805551,-0.35932896,-0.50307423,-0.56805551,-0.031480309,0.71256047,-0.84390223,-0.10346429,-0.35932896,"2"
"76","ELA34",2016,-0.47621572,-0.45084465,-0.45677617,-0.63671982,-0.94709182,-0.59390253,-0.47093827,-0.94709182,-0.59390253,-0.47621572,-0.45084465,-0.63671982,-0.45677617,-0.47093827,"2"
"77","ELA34",2020,-0.62101424,0.50850338,-0.45677617,0.14482521,0.29940534,-0.3628256,0.5977121,0.29940534,-0.3628256,-0.62101424,0.50850338,0.14482521,-0.45677617,0.5977121,"4"
"78","ELA35",2010,-0.59222764,-1.006951,-0.45677617,0.1077244,-0.11460622,-0.557423,-0.73163623,-0.11460622,-0.557423,-0.59222764,-1.006951,0.1077244,-0.45677617,-0.73163623,"2"
"79","ELA35",2016,0.14585891,0.96613264,0.044629782,-0.46746862,-1.0312121,-0.38820758,0.83127981,-1.0312121,-0.38820758,0.14585891,0.96613264,-0.46746862,0.044629782,0.83127981,"4"
"80","ELA35",2020,0.045127209,-0.22602385,-0.45677617,-0.041327365,-0.37098792,0.17183264,-0.34655908,-0.37098792,0.17183264,0.045127209,-0.22602385,-0.041327365,-0.45677617,-0.34655908,"2"
"81","ELA36",2010,-0.40650401,-0.8778336,-0.45677617,-0.013234832,-0.43580523,0.30862659,-0.60345578,-0.43580523,0.30862659,-0.40650401,-0.8778336,-0.013234832,-0.45677617,-0.60345578,"2"
"82","ELA36",2016,-0.41772056,2.4906967,-0.45677617,-0.52003932,0.28703043,-0.67748797,0.036866087,0.28703043,-0.67748797,-0.41772056,2.4906967,-0.52003932,-0.45677617,0.036866087,"4"
"83","ELA36",2020,-0.51232398,-0.91698724,-0.45677617,1.105816,0.42414942,-0.58824915,-0.59325057,0.42414942,-0.58824915,-0.51232398,-0.91698724,1.105816,-0.45677617,-0.59325057,"2"
"84","ELA37",2010,-0.48716629,-1.0995044,-0.45677617,0.04563136,-0.39837119,-0.48543733,-0.78180242,-0.39837119,-0.48543733,-0.48716629,-1.0995044,0.04563136,-0.45677617,-0.78180242,"2"
"85","ELA37",2016,0.10938779,0.93170309,-0.45677617,-0.6240418,-0.73629123,-0.65456152,-0.42652705,-0.73629123,-0.65456152,0.10938779,0.93170309,-0.6240418,-0.45677617,-0.42652705,"4"
"86","ELA37",2020,-0.29808897,-0.41653356,-0.45677617,-1.4138595,-0.49238864,0.054952703,-0.58674967,-0.49238864,0.054952703,-0.29808897,-0.41653356,-1.4138595,-0.45677617,-0.58674967,"2"
"87","ELA38",2010,-0.49284574,-0.12305209,0.83389688,-0.76337349,-0.33598113,-0.52178252,0.074261554,-0.33598113,-0.52178252,-0.49284574,-0.12305209,-0.76337349,0.83389688,0.074261554,"3"
"88","ELA38",2016,-0.54158318,-0.78580052,-0.45677617,-1.1103147,-0.68828315,-0.36844754,-0.71323824,-0.68828315,-0.36844754,-0.54158318,-0.78580052,-1.1103147,-0.45677617,-0.71323824,"2"
"89","ELA38",2020,-0.5266248,-0.71296954,-0.21074131,0.50484776,0.53313124,0.23459026,-0.44755271,0.53313124,0.23459026,-0.5266248,-0.71296954,0.50484776,-0.21074131,-0.44755271,"2"
"90","ELA39",2010,-0.60592443,-0.84692132,-0.45677617,0.44748428,1.1078707,-0.55296206,-0.52483672,1.1078707,-0.55296206,-0.60592443,-0.84692132,0.44748428,-0.45677617,-0.52483672,"2"
"91","ELA39",2016,-0.15086353,0.47331363,0.41302454,0.0017525969,0.63233376,0.92801571,1.5227869,0.63233376,0.92801571,-0.15086353,0.47331363,0.0017525969,0.41302454,1.5227869,"4"
"92","ELA39",2020,3.1090109,1.8649409,-0.45677617,-0.96239388,-0.97583437,0.51830393,0.077451706,-0.97583437,0.51830393,3.1090109,1.8649409,-0.96239388,-0.45677617,0.077451706,"4"
"93","ELA4",2010,-0.18216763,-0.90079552,-0.45677617,0.39232737,0.10341008,-0.4809671,-0.59462589,0.10341008,-0.4809671,-0.18216763,-0.90079552,0.39232737,-0.45677617,-0.59462589,"2"
"94","ELA4",2016,-0.57805747,-0.11397956,-0.45677617,0.8249619,1.6430414,-0.62403321,-0.16714588,1.6430414,-0.62403321,-0.57805747,-0.11397956,0.8249619,-0.45677617,-0.16714588,"2"
"95","ELA4",2020,-0.50131106,0.047833905,0.36217245,0.51177603,1.4483315,-0.51984817,0.34156403,1.4483315,-0.51984817,-0.50131106,0.047833905,0.51177603,0.36217245,0.34156403,"2"
"96","ELA40",2010,-0.44652966,-0.13197502,-0.45677617,-0.052913953,-0.29242957,1.1726038,-0.19053937,-0.29242957,1.1726038,-0.44652966,-0.13197502,-0.052913953,-0.45677617,-0.19053937,"2"
"97","ELA40",2016,4.6093278,-0.06003942,-0.45677617,0.47566381,-1.0377052,-0.50295788,0.44705069,-1.0377052,-0.50295788,4.6093278,-0.06003942,0.47566381,-0.45677617,0.44705069,"4"
"98","ELA40",2020,-0.32165173,0.67119771,-0.45677617,0.698237,-0.025652943,0.66516536,0.42901683,-0.025652943,0.66516536,-0.32165173,0.67119771,0.698237,-0.45677617,0.42901683,"4"
"99","ELA41",2010,0.87854254,1.6425221,0.56914335,-0.93124062,0.21501671,-0.4814088,1.3129448,0.21501671,-0.4814088,0.87854254,1.6425221,-0.93124062,0.56914335,1.3129448,"4"
